"Year";"Site";"Country";"Vehicle";"Family";"Remarks";"Success"
"1964";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1964";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (M)";"R-7";"failure";"False"
"1964";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1964";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1964";"Va 75-3-5";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1964";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1964";"CC LC-17A";"USA";"Delta-B";"";"failure";"False"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (E6)";"R-7";"failure";"False"
"1964";"Va LC-1-1";"USA";"Thor-SLV2A Agena-D";"";"failure";"False"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (M)";"R-7";"partial failure";"False"
"1964";"WI LA-3";"USA";"Scout-X3";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (M)";"R-7";"";"True"
"1964";"Ba LC-31/6";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1964";"CC LC-19";"USA";"Titan-2-GLV";"";"";"True"
"1964";"Ba LC-31/6";"USSR/Russia";"11A59 I1P";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (E6)";"R-7";"failure";"False"
"1964";"Va 75-1-1";"USA";"Thor-DSV2A Able-Star";"";"failure";"False"
"1964";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1964";"Ba LC-31/6";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1964";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Voskhod";"R-7";"";"True"
"1964";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1964";"CC LC-37B";"USA";"Saturn-1 (Block-2)";"";"";"True"
"1964";"Va LC-D";"USA";"Scout-X4";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"failure";"False"
"1964";"Va LC-1-1";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1964";"Ba LC-31/6";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1964";"Va 75-1-2";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Va 75-3-4";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1964";"Va 75-1-1";"USA";"Thor-SLV2A Agena-D";"";"";"True"
